Stimulus,CID,Concentration,pleasantness
1,16741,0.001,21.327272727272728
2,16741,1e-05,37.69767441860465
3,17121,0.001,34.08
4,17121,1e-05,42.90909090909091
5,520191,1e-05,49.411764705882355
6,520191,0.001,27.654545454545456
7,92979,0.001,29.166666666666668
8,92979,1e-05,38.63636363636363
9,62580,0.001,48.275862068965516
10,62580,1e-05,43.07142857142857
11,24197,1e-05,55.25
12,24197,0.001,41.4375
13,7476,0.001,68.8125
14,7476,0.1,53.30909090909091
15,61252,0.001,21.4
16,61252,1e-05,33.25
17,24834,1e-05,66.39024390243902
18,24834,0.001,67.37735849056604
19,7500,0.001,35.236363636363635
20,7500,1e-05,50.36
21,244,0.1,46.716981132075475
22,244,0.001,52.354166666666664
23,240,1e-05,64.64516129032258
24,240,0.001,61.50909090909091
25,7519,0.001,29.296296296296298
26,7519,1e-05,50.241379310344826
27,7559,0.001,42.89090909090909
28,7559,1e-05,42.285714285714285
29,7583,0.001,49.924528301886795
30,7583,1e-05,46.45454545454545
31,7593,1e-05,43.02439024390244
32,7593,0.001,32.68518518518518
33,60998,1e-05,54.34615384615385
34,60998,0.001,45.52
35,60999,0.001,31.0
36,60999,1e-05,47.03846153846154
37,7601,1e-05,52.85
38,7601,0.001,53.35
39,5541,0.001,38.91304347826087
40,5541,0.1,33.08888888888889
41,7632,0.001,64.26190476190476
42,7632,1e-05,52.0
43,7635,0.001,42.020833333333336
44,7635,1e-05,51.34782608695652
45,637758,0.001,54.765957446808514
46,637758,1e-05,63.083333333333336
47,7654,0.001,54.851851851851855
48,7654,1e-05,56.93939393939394
49,7657,0.001,49.24242424242424
50,7657,0.1,67.81818181818181
51,61005,0.1,43.775510204081634
52,61005,0.001,55.08695652173913
53,7695,0.001,69.8125
54,7695,1e-05,48.666666666666664
55,5315892,0.001,47.37735849056604
56,5315892,1e-05,42.63636363636363
57,7720,1e-05,25.891304347826086
58,7720,0.001,19.35185185185185
59,7731,0.001,47.69230769230769
60,7731,1e-05,56.31111111111111
61,5363233,1e-05,46.80952380952381
62,5363233,0.001,33.86
63,61523,0.001,53.58
64,61523,1e-05,56.76190476190476
65,7749,0.001,39.94444444444444
66,7749,1e-05,31.341463414634145
67,7761,1e-05,61.02272727272727
68,7761,0.001,71.7090909090909
69,7762,0.001,61.127272727272725
70,7762,1e-05,59.630434782608695
71,7765,0.001,42.54761904761905
72,7765,1e-05,47.94285714285714
73,7768,0.001,40.90625
74,7768,0.1,46.02777777777778
75,7770,0.001,42.45454545454545
76,7770,1e-05,33.6
77,1549026,1e-07,47.93333333333333
78,1549026,1e-05,54.37931034482759
79,61527,1e-07,48.91304347826087
80,61527,1e-05,31.58823529411765
81,235414,0.001,54.074074074074076
82,235414,0.1,73.51923076923077
83,7792,1e-05,43.75
84,7792,0.001,40.22222222222222
85,637566,1e-05,62.125
86,637566,0.001,59.166666666666664
87,643820,0.001,61.40384615384615
88,643820,1e-05,48.81818181818182
89,7795,1e-05,45.464285714285715
90,7795,0.001,52.76470588235294
91,7797,1e-05,55.93023255813954
92,7797,0.001,62.627450980392155
93,7799,1e-05,61.921052631578945
94,7799,0.001,66.23076923076923
95,7803,0.001,44.42307692307692
96,7803,1e-05,48.65217391304348
97,2879,1e-05,31.62
98,2879,0.001,32.31481481481482
99,7820,0.1,49.08163265306123
100,7820,0.001,43.64
101,246728,0.001,50.943396226415096
102,246728,1e-05,53.3421052631579
103,7824,0.001,56.2037037037037
104,7824,1e-05,51.8125
105,7826,1e-05,53.035714285714285
106,7826,0.001,58.82608695652174
107,14104,0.001,43.75
108,14104,1e-05,47.5
109,7894,1e-05,40.23076923076923
110,7894,1e-07,46.095238095238095
111,264,1e-05,15.98076923076923
112,264,0.001,21.072727272727274
113,239,0.001,50.24242424242424
114,239,0.1,50.146341463414636
115,7915,0.001,41.520833333333336
116,7915,1e-05,50.67741935483871
117,7916,1e-05,46.892857142857146
118,7916,1e-07,45.5
119,7921,1e-05,51.27272727272727
120,7921,0.001,51.361111111111114
121,7937,0.001,29.818181818181817
122,7937,1e-05,35.270833333333336
123,7967,0.001,38.03703703703704
124,7967,1e-05,50.2
125,7969,1e-05,24.641025641025642
126,7969,1e-07,41.9
127,61024,0.001,55.8235294117647
128,61024,1e-05,53.38095238095238
129,8038,0.001,55.981818181818184
130,8038,1e-05,49.96774193548387
131,7983,1e-05,47.97222222222222
132,7983,0.001,38.07272727272727
133,61027,0.001,42.15384615384615
134,61027,0.1,35.132075471698116
135,7991,1e-07,37.458333333333336
136,7991,1e-05,24.704545454545453
137,7997,1e-05,49.0
138,7997,0.001,43.45454545454545
139,8007,1e-07,44.39393939393939
140,8007,1e-05,50.8
141,8025,0.1,35.977777777777774
142,8025,0.001,48.1764705882353
143,8030,1e-05,36.146341463414636
144,8030,0.001,34.37735849056604
145,1110,0.001,36.11764705882353
146,1110,0.1,34.61363636363637
147,444972,0.001,49.45
148,444972,0.1,36.851063829787236
149,8042,0.1,45.38709677419355
150,8042,0.001,50.625
151,8048,0.001,49.55172413793103
152,8048,0.1,58.16981132075472
153,8049,0.1,71.26
154,8049,0.001,55.476190476190474
155,8051,1e-05,51.888888888888886
156,8051,0.001,53.77358490566038
157,8063,1e-07,49.80769230769231
158,8063,1e-05,43.026315789473685
159,8077,1e-05,28.372549019607842
160,8077,0.001,21.327272727272728
161,8078,0.001,40.525
162,8078,0.1,48.19565217391305
163,1049,1e-05,46.77777777777778
164,1049,1e-07,54.19047619047619
165,8082,1e-05,48.22222222222222
166,8082,0.001,13.245283018867925
167,9862,0.001,48.648148148148145
168,9862,1e-05,52.583333333333336
169,8091,1e-05,50.146341463414636
170,8091,0.001,68.52272727272727
171,8093,1e-05,52.241379310344826
172,8093,0.001,52.53703703703704
173,8094,0.001,21.509090909090908
174,8094,1e-05,30.367346938775512
175,8103,1e-05,49.44444444444444
176,8103,0.001,58.2
177,8118,1e-05,44.45945945945946
178,8118,1e-07,40.666666666666664
179,8122,0.001,43.38095238095238
180,8122,0.1,45.72093023255814
181,356,0.1,53.21153846153846
182,356,0.001,44.0625
183,8125,0.001,39.073170731707314
184,8125,1e-05,48.0
185,8129,0.001,53.054545454545455
