Stimulus,CID,Concentration,FLOWER,GRASS,WOOD,DECAYED,AMMONIA/URINOUS,SWEATY,MUSKY,WARM,ACID,BURNT,SOUR,COLD,SPICES,GARLIC,FISH,FRUIT,SWEET,BAKERY,EDIBLE,CHEMICAL
1,16741,0.001,0.10909090909090909,1.1272727272727272,2.4,7.581818181818182,7.8545454545454545,7.490909090909091,9.50909090909091,5.109090909090909,6.109090909090909,15.218181818181819,7.218181818181818,0.6909090909090909,6.836363636363636,4.3090909090909095,5.454545454545454,0.01818181818181818,0.7454545454545455,1.7272727272727273,3.3636363636363638,7.363636363636363
2,16741,1e-05,1.2790697674418605,1.2790697674418605,4.72093023255814,3.186046511627907,2.0930232558139537,1.6046511627906976,6.930232558139535,2.7674418604651163,5.348837209302325,5.116279069767442,6.883720930232558,3.372093023255814,5.488372093023256,4.209302325581396,1.558139534883721,1.1627906976744187,3.5348837209302326,1.2790697674418605,6.093023255813954,11.046511627906977
3,17121,0.001,2.42,5.14,0.9,3.7,3.34,1.72,7.5,2.36,6.12,3.9,7.36,4.5,3.2,2.08,0.66,4.22,7.08,0.16,5.08,6.52
4,17121,1e-05,0.24242424242424243,1.121212121212121,3.1818181818181817,1.8484848484848484,0.21212121212121213,2.303030303030303,9.242424242424242,4.151515151515151,0.09090909090909091,2.6363636363636362,6.9393939393939394,4.878787878787879,4.090909090909091,2.484848484848485,0.7575757575757576,0.8181818181818182,10.06060606060606,0.24242424242424243,1.2727272727272727,7.454545454545454
5,520191,1e-05,8.647058823529411,2.6470588235294117,2.2058823529411766,4.029411764705882,3.0,2.823529411764706,5.9411764705882355,3.6470588235294117,2.2058823529411766,1.7941176470588236,4.117647058823529,3.2058823529411766,0.20588235294117646,1.8235294117647058,3.235294117647059,4.882352941176471,10.441176470588236,0.0,2.7058823529411766,8.647058823529411
6,520191,0.001,4.5636363636363635,3.709090909090909,1.8,8.527272727272727,8.909090909090908,4.8545454545454545,15.054545454545455,2.581818181818182,8.745454545454546,5.0181818181818185,6.890909090909091,2.1272727272727274,4.709090909090909,2.418181818181818,5.781818181818182,1.709090909090909,4.236363636363636,1.7818181818181817,3.690909090909091,15.636363636363637
7,92979,0.001,0.023809523809523808,0.6428571428571429,3.3333333333333335,5.357142857142857,8.833333333333334,6.404761904761905,5.619047619047619,3.0952380952380953,9.380952380952381,4.904761904761905,6.0,6.119047619047619,3.880952380952381,0.2857142857142857,0.30952380952380953,0.14285714285714285,1.8095238095238095,0.023809523809523808,0.047619047619047616,15.595238095238095
8,92979,1e-05,4.7272727272727275,2.3636363636363638,3.0606060606060606,3.1515151515151514,9.636363636363637,4.878787878787879,11.121212121212121,1.606060606060606,4.212121212121212,4.303030303030303,8.424242424242424,3.212121212121212,1.2727272727272727,4.090909090909091,0.15151515151515152,2.787878787878788,9.727272727272727,0.21212121212121213,2.5454545454545454,12.757575757575758
9,62580,0.001,1.7586206896551724,0.13793103448275862,0.1724137931034483,2.2413793103448274,2.7241379310344827,9.827586206896552,7.896551724137931,2.5172413793103448,2.5517241379310347,3.206896551724138,13.379310344827585,4.172413793103448,1.896551724137931,0.10344827586206896,0.1724137931034483,4.413793103448276,12.551724137931034,0.8620689655172413,0.3103448275862069,8.758620689655173
10,62580,1e-05,7.821428571428571,3.5714285714285716,5.785714285714286,3.142857142857143,2.4642857142857144,5.285714285714286,5.0,1.0,7.035714285714286,5.107142857142857,2.0357142857142856,2.4285714285714284,1.1071428571428572,0.0,0.0,0.21428571428571427,7.392857142857143,0.0,1.8214285714285714,6.5
11,24197,1e-05,0.65,0.4,5.2,3.3,1.7,0.65,8.3,1.2,4.15,2.5,8.85,10.15,5.95,3.45,6.2,0.85,6.05,5.7,4.7,8.35
12,24197,0.001,0.28125,2.09375,3.1875,2.0625,5.15625,10.15625,9.96875,8.65625,7.25,3.59375,11.09375,4.21875,5.0,3.3125,3.96875,5.3125,3.96875,0.6875,3.6875,6.46875
13,7476,0.001,11.145833333333334,0.6458333333333334,0.8958333333333334,1.6041666666666667,0.7291666666666666,0.5208333333333334,4.916666666666667,4.8125,3.2708333333333335,2.125,2.8541666666666665,6.104166666666667,3.1041666666666665,2.2083333333333335,0.5833333333333334,5.395833333333333,15.625,1.4166666666666667,7.458333333333333,8.5625
14,7476,0.1,6.472727272727273,2.7818181818181817,3.2,0.4909090909090909,4.109090909090909,0.5818181818181818,3.709090909090909,6.745454545454545,3.4909090909090907,4.672727272727273,1.709090909090909,0.9272727272727272,11.854545454545455,1.4727272727272727,0.01818181818181818,4.8,19.509090909090908,13.127272727272727,15.781818181818181,11.618181818181819
15,61252,0.001,0.5454545454545454,1.6181818181818182,0.8545454545454545,11.0,3.5636363636363635,0.8909090909090909,4.872727272727273,2.909090909090909,2.1818181818181817,10.436363636363636,9.072727272727272,0.8727272727272727,9.4,20.236363636363638,11.745454545454546,0.01818181818181818,1.1090909090909091,3.3454545454545452,7.818181818181818,9.854545454545455
16,61252,1e-05,1.1428571428571428,2.857142857142857,3.0357142857142856,3.5,3.2857142857142856,0.5357142857142857,8.678571428571429,4.071428571428571,3.142857142857143,8.035714285714286,7.928571428571429,1.8214285714285714,6.821428571428571,5.785714285714286,7.214285714285714,1.25,3.607142857142857,2.7857142857142856,0.5714285714285714,9.5
17,24834,1e-05,11.682926829268293,4.487804878048781,2.1951219512195124,0.024390243902439025,0.36585365853658536,0.8536585365853658,8.463414634146341,7.634146341463414,2.292682926829268,0.8292682926829268,2.8536585365853657,3.073170731707317,10.170731707317072,1.5609756097560976,0.0,4.195121951219512,23.365853658536587,4.365853658536586,8.439024390243903,3.048780487804878
18,24834,0.001,11.88679245283019,1.471698113207547,0.4339622641509434,0.6415094339622641,2.339622641509434,0.5283018867924528,1.3962264150943395,8.943396226415095,2.490566037735849,0.3018867924528302,4.169811320754717,5.2075471698113205,3.69811320754717,1.1320754716981132,0.018867924528301886,12.81132075471698,28.150943396226417,6.509433962264151,13.79245283018868,7.528301886792453
19,7500,0.001,2.4363636363636365,0.8,3.1636363636363636,2.1272727272727274,7.654545454545454,1.290909090909091,4.0181818181818185,3.727272727272727,6.745454545454545,5.236363636363636,3.8545454545454545,3.090909090909091,3.8,0.01818181818181818,0.01818181818181818,0.01818181818181818,2.4,1.018181818181818,1.3272727272727274,36.36363636363637
20,7500,1e-05,2.08,0.28,0.24,5.44,3.84,2.96,1.56,0.6,4.4,1.84,5.88,5.52,5.0,0.48,0.0,5.52,12.96,0.96,5.32,10.84
21,244,0.1,6.962264150943396,0.018867924528301886,1.5471698113207548,2.5283018867924527,5.716981132075472,0.8113207547169812,6.2075471698113205,3.6037735849056602,8.60377358490566,2.792452830188679,2.3207547169811322,7.113207547169812,5.981132075471698,0.03773584905660377,0.24528301886792453,10.471698113207546,18.169811320754718,1.0,4.245283018867925,27.962264150943398
22,244,0.001,2.7916666666666665,1.2083333333333333,1.3541666666666667,0.375,3.5416666666666665,0.9375,1.9166666666666667,5.166666666666667,3.4375,3.4375,3.6458333333333335,6.1875,5.770833333333333,0.3125,0.0,6.395833333333333,18.229166666666668,1.9375,5.541666666666667,12.770833333333334
23,240,1e-05,3.7419354838709675,0.06451612903225806,0.3548387096774194,2.3225806451612905,1.3548387096774193,0.5483870967741935,4.354838709677419,7.935483870967742,0.2903225806451613,0.16129032258064516,2.4838709677419355,2.903225806451613,0.16129032258064516,1.935483870967742,0.7096774193548387,7.774193548387097,24.451612903225808,5.483870967741935,14.387096774193548,9.580645161290322
24,240,0.001,8.0,1.5636363636363637,0.16363636363636364,0.2,2.090909090909091,0.10909090909090909,3.018181818181818,2.7454545454545456,2.1454545454545455,0.4909090909090909,2.8545454545454545,1.3454545454545455,4.090909090909091,0.01818181818181818,0.36363636363636365,14.563636363636364,20.4,10.50909090909091,16.272727272727273,15.163636363636364
25,7519,0.001,1.8703703703703705,1.9444444444444444,3.240740740740741,4.333333333333333,9.0,3.240740740740741,5.62962962962963,4.62962962962963,11.703703703703704,3.185185185185185,5.148148148148148,4.185185185185185,2.6481481481481484,0.9629629629629629,1.4074074074074074,0.9629629629629629,2.4074074074074074,0.07407407407407407,0.09259259259259259,27.72222222222222
26,7519,1e-05,1.896551724137931,1.0689655172413792,3.793103448275862,0.6206896551724138,0.8275862068965517,0.7241379310344828,7.793103448275862,6.517241379310345,2.5172413793103448,1.8620689655172413,4.482758620689655,1.0,1.896551724137931,0.1724137931034483,1.2758620689655173,0.034482758620689655,5.482758620689655,3.0,1.103448275862069,5.172413793103448
27,7559,0.001,10.418181818181818,3.090909090909091,2.272727272727273,5.945454545454545,7.927272727272728,6.927272727272728,12.854545454545455,5.836363636363636,4.363636363636363,0.8727272727272727,10.236363636363636,7.745454545454545,3.8181818181818183,1.2,0.18181818181818182,3.4727272727272727,11.290909090909091,0.2545454545454545,3.2181818181818183,10.50909090909091
28,7559,1e-05,4.346938775510204,2.795918367346939,1.4489795918367347,4.142857142857143,10.816326530612244,3.673469387755102,6.73469387755102,3.36734693877551,4.959183673469388,2.142857142857143,6.142857142857143,4.979591836734694,6.428571428571429,1.6122448979591837,1.0816326530612246,0.10204081632653061,5.591836734693878,3.122448979591837,4.489795918367347,11.714285714285714
29,7583,0.001,2.5660377358490565,2.7735849056603774,3.9245283018867925,0.18867924528301888,5.377358490566038,1.0943396226415094,1.7169811320754718,2.490566037735849,11.622641509433961,1.6037735849056605,2.2830188679245285,5.509433962264151,5.981132075471698,1.509433962264151,0.4339622641509434,2.4339622641509435,7.283018867924528,2.4150943396226414,5.113207547169812,15.641509433962264
30,7583,1e-05,5.681818181818182,1.8181818181818181,8.454545454545455,0.0,0.0,3.3636363636363638,5.181818181818182,4.454545454545454,0.0,2.227272727272727,2.272727272727273,2.3181818181818183,9.272727272727273,4.363636363636363,0.0,0.0,4.909090909090909,3.1363636363636362,4.681818181818182,1.0454545454545454
31,7593,1e-05,1.024390243902439,1.5121951219512195,1.951219512195122,6.390243902439025,8.560975609756097,5.487804878048781,12.585365853658537,8.121951219512194,1.8048780487804879,2.7560975609756095,5.463414634146342,2.4878048780487805,1.4146341463414633,2.5609756097560976,1.024390243902439,1.7560975609756098,8.024390243902438,3.073170731707317,0.9024390243902439,5.829268292682927
32,7593,0.001,1.8518518518518519,0.9074074074074074,2.5925925925925926,4.5,8.166666666666666,8.962962962962964,11.314814814814815,6.388888888888889,5.388888888888889,8.666666666666666,8.925925925925926,2.962962962962963,6.296296296296297,2.0925925925925926,0.018518518518518517,0.018518518518518517,5.0,0.5185185185185185,4.574074074074074,13.203703703703704
33,60998,1e-05,8.807692307692308,3.269230769230769,5.846153846153846,3.423076923076923,3.3846153846153846,3.730769230769231,7.8076923076923075,3.9615384615384617,2.1923076923076925,2.230769230769231,3.0,6.8076923076923075,3.076923076923077,1.4230769230769231,0.038461538461538464,1.9615384615384615,10.153846153846153,2.1153846153846154,2.8076923076923075,3.1538461538461537
34,60998,0.001,7.96,3.06,4.54,5.44,2.48,3.54,6.2,6.14,3.28,3.92,7.16,2.08,2.0,1.74,1.1,2.08,9.52,1.66,3.8,11.4
35,60999,0.001,6.0212765957446805,1.0,4.340425531914893,5.148936170212766,7.0212765957446805,9.51063829787234,13.191489361702128,4.51063829787234,5.723404255319149,2.3617021276595747,9.638297872340425,0.3617021276595745,2.6808510638297873,2.5106382978723403,1.6808510638297873,0.2978723404255319,9.23404255319149,1.7872340425531914,2.1914893617021276,6.468085106382978
36,60999,1e-05,1.5769230769230769,3.1923076923076925,5.576923076923077,0.3076923076923077,3.6923076923076925,3.8461538461538463,4.230769230769231,4.1923076923076925,3.230769230769231,4.653846153846154,9.038461538461538,4.230769230769231,9.115384615384615,3.3461538461538463,2.0384615384615383,0.0,5.615384615384615,3.230769230769231,1.9230769230769231,3.8461538461538463
37,7601,1e-05,15.2,0.4,1.55,4.4,1.3,3.1,3.2,5.0,3.3,0.75,9.65,0.0,7.9,0.0,1.95,0.0,5.9,2.85,1.95,4.2
38,7601,0.001,9.1,3.65,2.7,0.425,3.35,3.25,7.15,6.775,2.725,2.6,4.525,3.875,1.2,2.225,0.8,6.25,17.025,1.1,1.775,11.2
39,5541,0.001,2.1739130434782608,1.391304347826087,1.065217391304348,5.239130434782608,4.043478260869565,6.065217391304348,3.652173913043478,5.456521739130435,15.043478260869565,5.195652173913044,19.347826086956523,4.586956521739131,4.195652173913044,3.347826086956522,0.7608695652173914,2.108695652173913,2.5869565217391304,1.3695652173913044,3.1956521739130435,8.608695652173912
40,5541,0.1,0.37777777777777777,0.044444444444444446,0.5777777777777777,0.28888888888888886,3.7777777777777777,2.3333333333333335,5.355555555555555,5.155555555555556,9.844444444444445,2.022222222222222,19.91111111111111,1.4666666666666666,6.177777777777778,2.8666666666666667,1.8444444444444446,1.8,2.5555555555555554,3.2444444444444445,7.111111111111111,5.066666666666666
41,7632,0.001,22.166666666666668,4.619047619047619,5.738095238095238,1.7380952380952381,2.2142857142857144,1.4761904761904763,2.9761904761904763,6.190476190476191,4.523809523809524,2.619047619047619,4.380952380952381,2.642857142857143,6.738095238095238,0.40476190476190477,0.16666666666666666,1.1666666666666667,18.428571428571427,0.9285714285714286,3.2142857142857144,7.023809523809524
42,7632,1e-05,3.9047619047619047,0.2857142857142857,4.238095238095238,0.047619047619047616,0.8571428571428571,0.047619047619047616,2.4285714285714284,3.0476190476190474,4.476190476190476,3.0,2.0,2.2857142857142856,1.5238095238095237,3.0,2.0476190476190474,0.0,8.333333333333334,0.5714285714285714,4.476190476190476,6.333333333333333
43,7635,0.001,3.625,3.75,4.229166666666667,0.9583333333333334,0.3958333333333333,2.375,6.041666666666667,5.0625,5.854166666666667,6.770833333333333,4.875,1.8125,4.083333333333333,1.3958333333333333,1.2291666666666667,1.6041666666666667,5.833333333333333,1.5416666666666667,2.6041666666666665,16.791666666666668
