Subject,Stimulus,CID,Concentration,ACID,AMMONIA/URINOUS,BAKERY,BURNT,CHEMICAL,COLD,DECAYED,EDIBLE,FISH,FLOWER,FRUIT,GARLIC,GRASS,HOW FAMILIAR IS THE SMELL?,HOW PLEASANT IS THE SMELL?,HOW STRONG IS THE SMELL?,MUSKY,SOUR,SPICES,SWEATY,SWEET,WARM,WOOD
1,1,16741,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,64.0,59.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0
1,2,16741,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,60.0,38.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0
1,3,17121,0.001,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,34.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,4,17121,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0
1,5,520191,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
1,6,520191,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,100.0,73.0,5.0,0.0,0.0,0.0,0.0,0.0
1,7,92979,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,11.0,80.0,93.0,78.0,0.0,0.0,0.0,0.0,0.0
1,8,92979,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,89.0,92.0,0.0,0.0,89.0,0.0,0.0,0.0
1,9,62580,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0
1,10,62580,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
